work_id,state,constituency,work_category,lifecycle_mode,overall_risk,risk_band,primary_risk_component,secondary_risk_component,primary_reason_title,recommended_amount,sanctioned_amount,total_expenditure,work_data_origin,scenario_data_origin
WS/MP383/2024-2025/11215,Rajasthan,RAJSAMAND,Normal/Others,IN_PROGRESS,96.25,CRITICAL,Deterministic compliance rule,ML anomaly model (atypical combination of characteristics),Unusual expenditure as a share of the sanctioned amount compared with the overall portfolio,500000.0,500000.0,118820.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP18167/2025-2026/228471,Rajasthan,JHUNJHUNU,Normal/Others,POST_COMPLETION,78.07142857142857,CRITICAL,Peer comparison,Deterministic compliance rule,Notable difference from peer works on total expenditure,,,48015.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP446/2023-2024/122215,,,,IN_PROGRESS,72.25,HIGH,ML anomaly model (atypical combination of characteristics),Peer comparison,Atypical overall combination of recorded characteristics,,,381900.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP383/2024-2025/11216,Rajasthan,RAJSAMAND,Normal/Others,IN_PROGRESS,95.13574126534466,CRITICAL,Deterministic compliance rule,ML anomaly model (atypical combination of characteristics),Unusual expenditure as a share of the sanctioned amount compared with the overall portfolio,500000.0,500000.0,94050.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP18019/2025-2026/216372,,,,IN_PROGRESS,15.803423959854758,LOW,Data quality / coverage uncertainty,ML anomaly model (atypical combination of characteristics),Information gaps affecting this work's record,,,355600.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP508/2023-2024/13249,Bihar,JHANJHARPUR,Normal/Others,PRE_SANCTION,61.642857142857146,HIGH,Deterministic compliance rule,Peer comparison,Recommendation pending sanction for an extended period,2376000.0,,,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP18112/2025-2026/177331,Maharashtra,AMRAVATI(SC),Normal/Others,IN_PROGRESS,74.99074605869922,HIGH,Deterministic compliance rule,Peer comparison,Unusual expenditure as a share of the sanctioned amount compared with similar works,,800000.0,787513.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP18177/2025-2026/168464,Tamil Nadu,ERODE,Normal/Others,POST_COMPLETION,74.97734077364363,HIGH,Deterministic compliance rule,Peer comparison,Unusual recommended amount compared with similar works,3000000.0,3000000.0,,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP356/2023-2024/13198,Madhya Pradesh,MANDSOUR,Normal/Others,PRE_SANCTION,31.575847845769346,MEDIUM,Deterministic compliance rule,ML anomaly model (atypical combination of characteristics),Recommendation pending sanction for an extended period,50000.0,,,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP18222/2025-2026/184028,Uttar Pradesh,JAUNPUR,Normal/Others,POST_COMPLETION,31.154980272476784,MEDIUM,Peer comparison,ML anomaly model (atypical combination of characteristics),Notable difference from peer works on total expenditure,,,19992.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP747/2025-2026/205068,Tamil Nadu,VIRUDHUNAGAR,Normal/Others,POST_COMPLETION,13.603841893204082,LOW,ML anomaly model (atypical combination of characteristics),Deterministic compliance rule,Atypical overall combination of recorded characteristics,,,,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP18087/2025-2026/178984,Karnataka,HAVERI,Normal/Others,IN_PROGRESS,49.1740343272788,MEDIUM,Peer comparison,ML anomaly model (atypical combination of characteristics),Notable difference from peer works on number of payment events,,500000.0,499956.0,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP18357/2025-2026/177245,Madhya Pradesh,GUNA,Normal/Others,IN_PROGRESS,24.096786915227995,LOW,ML anomaly model (atypical combination of characteristics),Peer comparison,Atypical overall combination of recorded characteristics,,1000000.0,,REAL_MPLADS,SYNTHETIC_DEMO
WS/MP017/2025-2026/160053,Tamil Nadu,ARAKKONAM,Normal/Others,POST_COMPLETION,75.68715145465181,CRITICAL,Deterministic compliance rule,Peer comparison,Unusual implementation duration (sanction to completion) compared with similar works,500000.0,500000.0,500000.0,REAL_MPLADS,SYNTHETIC_DEMO
