scenario_id,work_id,synthetic_reference_lat,synthetic_reference_lon,asset_id,synthetic_asset_lat,synthetic_asset_lon,simulated_distance_km,demonstration_label,ui_wording_note,synthetic
SPAT-0001,WS/MP383/2024-2025/11215,31.98678,79.61838,AST-0171,24.3168,79.98619,853.62,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0002,WS/MP383/2024-2025/11215,31.98678,79.61838,AST-0155,12.03273,87.02862,2344.71,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0003,WS/MP18167/2025-2026/228471,19.56437,76.80872,AST-0018,16.49556,89.86711,1421.78,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0004,WS/MP18167/2025-2026/228471,19.56437,76.80872,AST-0108,11.35395,70.82871,1115.05,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0005,WS/MP383/2024-2025/11216,33.28088,96.24798,AST-0195,13.7286,83.58438,2523.41,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0006,WS/MP383/2024-2025/11216,33.28088,96.24798,AST-0141,10.36642,82.92731,2888.62,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0007,WS/MP508/2023-2024/13249,25.40014,81.09134,AST-0094,20.6627,74.00716,895.8,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0008,WS/MP508/2023-2024/13249,25.40014,81.09134,AST-0061,22.6609,71.14623,1054.58,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0009,WS/MP18112/2025-2026/177331,30.33359,81.18851,AST-0082,20.47562,91.955,1538.03,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0010,WS/MP18112/2025-2026/177331,30.33359,81.18851,AST-0054,23.36018,78.13177,832.48,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0011,WS/MP18177/2025-2026/168464,32.71274,75.86158,AST-0164,8.58364,71.65915,2717.68,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0012,WS/MP18177/2025-2026/168464,32.71274,75.86158,AST-0192,19.16116,74.96975,1509.48,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0013,WS/MP356/2023-2024/13198,15.92508,83.87732,AST-0175,33.29421,89.52634,2013.0,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0014,WS/MP356/2023-2024/13198,15.92508,83.87732,AST-0106,10.80176,74.65675,1148.35,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0015,WS/MP18222/2025-2026/184028,10.69108,79.24516,AST-0156,23.17435,69.07918,1757.84,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0016,WS/MP18222/2025-2026/184028,10.69108,79.24516,AST-0107,17.15298,91.68553,1521.96,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0017,WS/MP747/2025-2026/205068,22.52692,88.26723,AST-0190,22.00861,84.57549,384.22,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0018,WS/MP747/2025-2026/205068,22.52692,88.26723,AST-0192,19.16116,74.96975,1430.97,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0019,WS/MP18087/2025-2026/178984,12.27967,72.51199,AST-0020,12.9279,76.03992,389.56,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0020,WS/MP18087/2025-2026/178984,12.27967,72.51199,AST-0095,14.02612,69.34726,393.86,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0021,WS/MP18357/2025-2026/177245,18.36444,85.16039,AST-0153,23.72474,96.2575,1295.99,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
SPAT-0022,WS/MP18357/2025-2026/177245,18.36444,85.16039,AST-0148,22.52972,72.56128,1391.31,SIMULATED / SYNTHETIC DEMONSTRATION CONTEXT,Demonstration spatial context - synthetic coordinates. Not an actual measured distance between a real MPLADS project and a real asset.,TRUE
