state,mp_name,mp_name_normalized,constituency,allocated_amount,allocation_level,allocation_term,allocation_term_confidence,allocation_term_evidence,source_package,source_file,source_row_number,source_record_id,allocation_is_cumulative_or_aggregate
Tamil Nadu,A Chellakumar,A Chellakumar,KRISHNAGIRI,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,2,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row2,True
Tamil Nadu,A Ganeshamurthi(17th Lok Sabha),A Ganeshamurthi,ERODE,98063957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,3,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row3,True
Kerala,Abdul Majeed Ariff,Abdul Majeed Ariff,ALAPPUZHA,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,4,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row4,True
West Bengal,Abu Taher Khan(17th Lok Sabha),Abu Taher Khan,MURSHIDABAD,220563957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,5,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row5,True
Odisha,Achyutananda Samanta(17th Lok Sabha),Achyutananda Samanta,KANDHAMAL,29851533.0,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,6,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row6,True
Andhra Pradesh,Adala Reddy,Adala Reddy,NELLORE(SC),117663957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,7,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row7,True
West Bengal,Adhir Ranjan Chowdhury (17th Lok Sabha),Adhir Ranjan Chowdhury,BAHARAMPUR,220563957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,8,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row8,True
Kerala,Adv Adoor Prakash (17th Lok Sabha),Adv Adoor Prakash,ATTINGAL,98063957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,9,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row9,True
Kerala,Adv Dean Kuriakose (17th Lok Sabha),Adv Dean Kuriakose,IDUKKI,98063957.11,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,10,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row10,True
Uttar Pradesh,Afzal Ansari(17th Lok Sabha),Afzal Ansari,GHAZIPUR,16207021.37,MP_CONSTITUENCY,17th Lok Sabha,HIGH,explicit_suffix_in_mp_name,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,11,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row11,True
Uttarakhand,Ajay Bhatt,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,98063957.11,MP_CONSTITUENCY,Unknown,UNKNOWN,no_explicit_term_marker_in_source_record,STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,12,STAGE1_SNAPSHOT::Allocated_Limit_for_Honble_MPs__2_.csv::row12,True
