work_id,n_source_rows,source_stage1,source_stage1_5,is_cross_package_duplicate,has_conflict,state,ida,mp_name,mp_name_normalized,constituency,work_category,work_description,completion_date,disbursed_amount,completion_term,completion_term_confidence,image_present,image,resolution_status,work_raw,work_desc_from_work_field,work_id_unresolved_reason,completion_term_evidence,source_package,source_file,source_row_number,source_record_id,unresolved_record_id
WS/MP005/2024-2025/145074,2.0,True,True,True,False,Gujarat,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,"Construction of C.C Road at Bhalan Para Vistar, Keshaji Mangaji House towards Dasrathbhai Somabhai House",2025-04-15,450000.0,Unknown,UNKNOWN,True,Images,resolved,,,,,,,,,
WS/MP005/2024-2025/175217,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Main Road towards Masanimataji Mandir Area,2025-05-29,250000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175218,1.0,True,False,False,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction Of Paver Block Work at Somnath Mahadev Mandir Nearby Area,2026-01-20,149865.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175230,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction Of Paver Block Work at BHaratpura Area Arvindbhai house towards chimanbhai house towards Faliya Area,2025-05-06,100000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175232,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction Of Paver Block Work at Bharatpura Area Bhanubhai Ranchhodbhai Faliya,2025-05-06,50000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175233,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction Of Paver Block Work and Compound Wall at Shaktipura Road Creamatorium,2025-07-05,450000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175247,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Gayatrinagr Marala Area Bahadurbhai House Towards Primary School,2025-07-01,50000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175248,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,construction of C.C Road Work At Gayatringar primary High School towards Main Road,2025-07-01,50000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175249,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Remaining Work Construction of C.C Road Work At Popatbhai Faliya Area,2025-07-01,100000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175250,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At palla Rajubhai Bhikhabhai Bamba House towards Vanubhai Bamba House Area,2025-05-22,200000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175251,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Nagabhai Lakha Bhai House towards Rajubhai House Area,2025-05-22,100000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175254,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Jagdishbhai Shop Towards Chauhan Faliya Area,2025-06-19,200000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2024-2025/175771,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,"Construction of C.C Road Work, Satishbhai house towards Ramdevpir to Main Gate Area",2025-06-19,200000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/164299,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work at Parsantaj Village Main Road towards in front of LakhaMohan House Area,2025-07-05,250000.0,Unknown,UNKNOWN,True,Images,resolved,,,,,,,,,
WS/MP005/2025-2026/164754,1.0,True,False,False,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work at Apruji_ East Area towards Bhalabhai Punjabhai Solanki House Area,2026-03-07,200000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/164759,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work at Dodiya Kui Village towards Government Borewell Area at Apruji.,2025-12-19,199267.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/164760,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paverblock Work Road Work at Primary School at Ratnavali,2025-12-19,100000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174442,1.0,True,False,False,False,Gujarat,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,"Construction of Paver Block Work at Pardhol Village, Indiranagri Near Area",2026-03-09,200000.0,Unknown,UNKNOWN,True,Images,resolved,,,,,,,,,
WS/MP005/2025-2026/174444,2.0,True,True,True,False,Gujarat,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,"Construction of Paver Block Work at Chaloda Village, Remaining Work at Bakshipanch Area",2025-10-15,197324.0,Unknown,UNKNOWN,True,Images,resolved,,,,,,,,,
WS/MP005/2025-2026/174445,2.0,True,True,True,False,Gujarat,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block Work at Ridpura-Saroda Gharvihona Vistarma,2025-07-23,199248.0,Unknown,UNKNOWN,True,Images,resolved,,,,,,,,,
WS/MP005/2025-2026/174452,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,"Installing tube-wells and borewells and Machinery at Dampat Village, Ambaji Mandir Near",2025-12-19,150000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174459,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Mahadev Pura Village Vadiya Area,2025-12-19,149553.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174462,1.0,True,False,False,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Ruppura Village Area Near Remaining Work Near Gordhanbhai Solanki House,2026-01-01,250000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174464,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction Of Paver Block Work at Kaprupur Bhagwat Vidhayalaya,2026-04-04,400000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174467,1.0,True,False,False,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Crematoriums or structures on burial cremation ground for public convenience at Kaprupur,2026-03-16,450000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174470,2.0,True,True,True,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,"Construction of C.C Road Work At Alina Village, Talpada Vistar Area, Ambamataji Mandir Area",2025-11-04,250000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174471,1.0,True,False,False,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Mangalpur Village Harshadpura Area Fatabhai Budhabhai House towards Raijibhai Budhabhai House Area,2026-02-18,100000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174473,1.0,True,False,False,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,"Construction of C.C Road Work At Kadi Village, Sagwada Area Fulabhai Becharbhai House Area towards Main Road",2026-03-03,150000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
WS/MP005/2025-2026/174474,1.0,True,False,False,False,Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of C.C Road Work At Kadi Village Prabhatpura Sim Area Remaining Work,2026-03-03,50000.0,Unknown,UNKNOWN,False,,resolved,,,,,,,,,
