work_id,expenditure_date,vendor_name,payment_status,disbursed_amount,state,mp_name,constituency,source_stage1,source_stage1_5,n_contributing_raw_rows,is_exact_duplicate_event,contributing_source_record_ids,flagged_possible_conflicting_event,resolution_status,work_raw,work_id_unresolved_reason,ida,mp_name_normalized,expenditure_term,expenditure_term_confidence,expenditure_term_evidence,source_package,source_file,source_row_number,source_record_id,unresolved_record_id
WS/MP419/2023-2024/8068,2026-08-19,Assistant Engineer Amnour,Payment In-Progress,449920.0,Bihar,Rajiv Pratap Rudy,SARAN,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row2,False,resolved,,,,,,,,,,,,
WS/MP624/2023-2024/76008,2024-08-03,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,373999.0,Karnataka,S Muniswamy(17th Lok Sabha),KOLAR(SC),True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row3,False,resolved,,,,,,,,,,,,
WS/MP631/2026-2027/94868,2026-08-20,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000.0,Karnataka,Smt Sumalatha Ambareesh(17th Lok Sabha),MANDYA,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row4,False,resolved,,,,,,,,,,,,
WS/MP649/2023-2024/19750,2026-08-25,GP SEMRA JP SANCHI,Payment In-Progress,100000.0,Madhya Pradesh,Ramakant Bhargava(17th Lok Sabha),VIDISHA,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row5,False,resolved,,,,,,,,,,,,
WS/MP649/2023-2024/27920,2026-08-21,GP BERKHEDI JP BEGAMGANJ,Payment In-Progress,125000.0,Madhya Pradesh,Ramakant Bhargava(17th Lok Sabha),VIDISHA,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row6,False,resolved,,,,,,,,,,,,
WS/MP745/2026-2027/125530,2026-08-21,Nava India Pathipagam,Payment In-Progress,36000.0,Tamil Nadu,K Subbarayan(17th Lok Sabha),TIRUPPUR,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row7,False,resolved,,,,,,,,,,,,
WS/MP764/2023-2024/6702,2023-09-15,Hanuman Purshula Podupu Sangam,Payment In-Progress,164711.0,Telangana,Dayakar Pasunoori(17th Lok Sabha),WARANGEL(SC),True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row8,False,resolved,,,,,,,,,,,,
WS/MP334/2023-2024/26287,2026-08-26,JUNIOR ENGINEER RDSD BOKARO,Payment In-Progress,80000.0,Jharkhand,Shri Chandra Prakash Choudhary (17th Lok Sabha),GIRIDIH,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row9,False,resolved,,,,,,,,,,,,
WS/MP426/2023-2024/18849,2026-08-20,SARPANCHAY GRAM PANCHAYAT HIRRI,Payment In-Progress,51031.0,Chhattisgarh,Arun Sao,BILASPUR,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row10,False,resolved,,,,,,,,,,,,
WS/MP389/2023-2024/12972,2026-06-30,MAA ASHAPURA CONSTRUCTION COMPANY,Payment In-Progress,248778.0,Rajasthan,Shri PP Chaudhary (17th Lok Sabha),PALI,True,False,1.0,False,STAGE1_SNAPSHOT::Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv::row11,False,resolved,,,,,,,,,,,,
