work_id,total_expenditure,payment_event_count,first_expenditure_date,latest_expenditure_date,unique_vendors
WS/EXLS003/2025-2026/135388,920289.0,1,2025-07-21,2025-07-21,1
WS/EXLS003/2025-2026/135395,989703.0,1,2025-08-29,2025-08-29,1
WS/EXLS003/2025-2026/135396,998638.0,1,2025-11-07,2025-11-07,1
WS/EXLS003/2025-2026/135397,996380.0,1,2025-08-29,2025-08-29,1
WS/EXLS003/2025-2026/135398,903999.0,1,2026-03-17,2026-03-17,1
WS/EXLS003/2025-2026/135414,999203.0,1,2025-11-07,2025-11-07,1
WS/EXLS005/2025-2026/229743,492540.0,1,2025-09-22,2025-09-22,1
WS/EXLS005/2025-2026/229744,500000.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/229759,500000.0,1,2025-09-23,2025-09-23,1
WS/EXLS005/2025-2026/229760,500000.0,1,2025-09-23,2025-09-23,1
WS/EXLS005/2025-2026/229761,335276.0,1,2025-10-27,2025-10-27,1
WS/EXLS005/2025-2026/229762,487066.0,1,2025-09-23,2025-09-23,1
WS/EXLS005/2025-2026/229771,500000.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/229774,500000.0,1,2025-12-15,2025-12-15,1
WS/EXLS005/2025-2026/229782,500000.0,1,2025-09-29,2025-09-29,1
WS/EXLS005/2025-2026/229783,500000.0,1,2025-09-03,2025-09-03,1
WS/EXLS005/2025-2026/229784,495233.0,1,2025-09-30,2025-09-30,1
WS/EXLS005/2025-2026/229785,491023.0,1,2025-09-30,2025-09-30,1
WS/EXLS005/2025-2026/230929,77297.0,1,2025-10-01,2025-10-01,1
WS/EXLS005/2025-2026/230932,500000.0,1,2026-01-06,2026-01-06,1
WS/EXLS005/2025-2026/230935,921305.0,1,2025-10-18,2025-10-18,1
WS/EXLS005/2025-2026/231030,480729.0,1,2026-01-08,2026-01-08,1
WS/EXLS005/2025-2026/231031,477054.0,1,2025-09-23,2025-09-23,1
WS/EXLS005/2025-2026/231035,300000.0,1,2025-09-29,2025-09-29,1
WS/EXLS005/2025-2026/231036,300000.0,1,2025-09-29,2025-09-29,1
WS/EXLS005/2025-2026/231037,992522.0,1,2025-09-22,2025-09-22,1
WS/EXLS005/2025-2026/231040,363914.0,1,2025-10-01,2025-10-01,1
WS/EXLS005/2025-2026/231044,397430.0,1,2025-09-23,2025-09-23,1
WS/EXLS005/2025-2026/231045,498076.0,1,2026-03-13,2026-03-13,1
WS/EXLS005/2025-2026/231046,500000.0,1,2025-10-17,2025-10-17,1
WS/EXLS005/2025-2026/231047,500000.0,1,2025-09-30,2025-09-30,1
WS/EXLS005/2025-2026/231048,489098.0,1,2025-10-15,2025-10-15,1
WS/EXLS005/2025-2026/231133,499642.0,1,2025-09-24,2025-09-24,1
WS/EXLS005/2025-2026/231135,500000.0,1,2025-10-08,2025-10-08,1
WS/EXLS005/2025-2026/231137,498744.0,1,2026-01-21,2026-01-21,1
WS/EXLS005/2025-2026/231174,500000.0,1,2025-10-07,2025-10-07,1
WS/EXLS005/2025-2026/231175,445514.0,1,2026-01-09,2026-01-09,1
WS/EXLS005/2025-2026/231186,500000.0,1,2025-09-29,2025-09-29,1
WS/EXLS005/2025-2026/231190,499823.0,1,2026-02-06,2026-02-06,1
WS/EXLS005/2025-2026/231192,499548.0,1,2025-10-07,2025-10-07,1
WS/EXLS005/2025-2026/231197,493392.0,1,2026-01-19,2026-01-19,1
WS/EXLS005/2025-2026/231198,499728.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/231199,499514.0,1,2026-01-20,2026-01-20,1
WS/EXLS005/2025-2026/231200,499282.0,1,2025-09-24,2025-09-24,1
WS/EXLS005/2025-2026/231201,290085.0,1,2025-10-24,2025-10-24,1
WS/EXLS005/2025-2026/231202,459746.0,1,2025-12-27,2025-12-27,1
WS/EXLS005/2025-2026/231715,500000.0,1,2026-04-24,2026-04-24,1
WS/EXLS005/2025-2026/231720,500000.0,1,2025-09-30,2025-09-30,1
WS/EXLS005/2025-2026/231722,500000.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/231723,489110.0,1,2025-09-29,2025-09-29,1
WS/EXLS005/2025-2026/231746,999580.0,1,2025-10-13,2025-10-13,1
WS/EXLS005/2025-2026/231747,499873.0,1,2025-09-22,2025-09-22,1
WS/EXLS005/2025-2026/231756,499998.0,1,2025-09-24,2025-09-24,1
WS/EXLS005/2025-2026/231758,499935.0,1,2025-09-22,2025-09-22,1
WS/EXLS005/2025-2026/231820,499534.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/231821,299574.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/231825,999835.0,1,2026-01-06,2026-01-06,1
WS/EXLS005/2025-2026/231826,500000.0,1,2025-09-28,2025-09-28,1
WS/EXLS005/2025-2026/231842,299636.0,1,2025-09-19,2025-09-19,1
WS/EXLS005/2025-2026/231844,500000.0,1,2026-01-21,2026-01-21,1
WS/EXLS005/2025-2026/231857,500000.0,1,2026-03-20,2026-03-20,1
WS/EXLS005/2025-2026/231858,500000.0,1,2026-03-20,2026-03-20,1
WS/EXLS005/2025-2026/231860,491315.0,1,2025-09-27,2025-09-27,1
WS/EXLS005/2025-2026/231862,499483.0,1,2025-11-03,2025-11-03,1
WS/EXLS005/2025-2026/232127,466114.0,1,2026-01-12,2026-01-12,1
WS/EXLS005/2025-2026/232138,500000.0,1,2025-10-06,2025-10-06,1
WS/EXLS005/2025-2026/232140,488782.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/234530,899403.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/234532,500000.0,1,2026-01-21,2026-01-21,1
WS/EXLS005/2025-2026/234573,450748.0,1,2025-10-16,2025-10-16,1
WS/EXLS005/2025-2026/234660,499809.0,1,2025-11-29,2025-11-29,1
WS/EXLS005/2025-2026/234670,499960.0,1,2025-12-15,2025-12-15,1
WS/EXLS005/2025-2026/234677,500000.0,1,2026-02-28,2026-02-28,1
WS/EXLS005/2025-2026/234681,500000.0,1,2026-01-05,2026-01-05,1
WS/EXLS005/2025-2026/237842,162677.0,1,2025-10-18,2025-10-18,1
WS/EXLS005/2025-2026/237845,500000.0,1,2025-10-21,2025-10-21,1
WS/EXLS005/2025-2026/237853,500000.0,1,2025-10-15,2025-10-15,1
WS/EXLS005/2025-2026/237855,387346.0,1,2025-12-03,2025-12-03,1
WS/EXLS005/2025-2026/237860,500000.0,1,2025-10-16,2025-10-16,1
