work_id,n_source_rows,source_stage1,source_stage1_5,is_cross_package_duplicate,has_conflict,state,ida,mp_name,mp_name_normalized,constituency,work_category,work_description,recommended_date,recommended_amount,sanction_date,recommendation_term,recommendation_term_confidence,resolution_status,work_raw,work_desc_from_work_field,work_id_unresolved_reason,recommendation_term_evidence,source_package,source_file,source_row_number,source_record_id,unresolved_record_id
WS/MP003/2023-2024/13040,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,construction of pcc,2023-08-25,387629.0,2024-01-20,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13043,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,causeway construction,2023-08-25,297744.0,2024-02-12,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13045,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,construction of pcc,2023-08-25,298053.0,2023-12-14,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13046,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,construction of pcc,2023-08-25,399175.0,2023-12-14,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13047,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,community building,2023-08-25,298187.0,2024-02-12,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13048,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,causeway construction,2023-08-25,297271.0,2024-02-12,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13051,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,construction of pcc,2023-08-25,298167.0,2023-12-14,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13052,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,why build a cremation shed,2023-08-25,387136.0,2024-01-27,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13053,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,construction of pcc,2023-08-25,399643.0,2024-01-27,Unknown,UNKNOWN,resolved,,,,,,,,,
WS/MP003/2023-2024/13055,1.0,True,False,False,False,Bihar,ROHTAS(District Planning Officer Rohtas_IDA),Mahabali Singh,Mahabali Singh,KARAKAT,Normal/Others,construction of pcc,2023-08-25,274388.0,2024-01-20,Unknown,UNKNOWN,resolved,,,,,,,,,
