source_package,source_file,dataset,row_count,column_count,columns,has_work_id_column,unique_work_ids,missing_or_unresolved_work_ids,duplicate_raw_rows,sha256,recommended_date_min,recommended_date_max,recommended_date_n_valid,sanction_date_min,sanction_date_max,sanction_date_n_valid,recommended_amount_min,recommended_amount_max,recommended_amount_n_valid,sanction_amount_min,sanction_amount_max,sanction_amount_n_valid,completion_date_min,completion_date_max,completion_date_n_valid,disbursed_amount_min,disbursed_amount_max,disbursed_amount_n_valid,expenditure_date_min,expenditure_date_max,expenditure_date_n_valid,allocated_amount_min,allocated_amount_max,allocated_amount_n_valid
STAGE1_SNAPSHOT,Works_Recommended.csv,recommended,8001,11,Sr. No. | Work category | WORK | State | IDA | Hon'ble Members of Parliament | Constituency | Work description | Recommended date | RECOMMENDED AMOUNT   ( ₹ ) | Sanction Date,False,7933.0,68.0,0,048518be0062b9f582de6807e28cf1b095e26e28fc2503ce4a50e33caaecd2c2,2023-04-26,2023-08-30,8000.0,2023-05-30,2026-07-27,7933.0,1608.0,13500000.0,7997.0,,,,,,,,,,,,,,,
STAGE1_5_SNAPSHOT,Works_Recommended.csv,recommended,20001,11,Sr. No. | Work category | WORK | State | IDA | Hon'ble Members of Parliament | Constituency | Work description | Recommended date | RECOMMENDED AMOUNT   ( ₹ ) | Sanction Date,False,19316.0,685.0,0,93cba044c886ede291cf2ec4ecc1ce5d05c834b1beecf62122a435be8eeb7047,2024-07-08,2025-10-02,20000.0,2024-07-09,2026-08-25,19316.0,12881.0,46470400.0,20000.0,,,,,,,,,,,,,,,
STAGE1_SNAPSHOT,Works_Sanctioned.csv,sanctioned,7001,12,Sr. No. | Work category | Work | State | IDA | Hon'ble Members of Parliament | Constituency | Work description | Recommended date | Sanction Date | Sanction Amount ( ₹ ) | Work Status,False,7000.0,1.0,0,5c1d8b4e221edb1469865f654228af1e8c77f1f78ee0b7481d44ee07022103a5,2023-04-26,2023-08-24,7000.0,2023-05-30,2026-07-27,7000.0,,,,7000.0,13500000.0,6997.0,,,,,,,,,,,,
STAGE1_5_SNAPSHOT,Works_Sanctioned.csv,sanctioned,25001,12,Sr. No. | Work category | Work | State | IDA | Hon'ble Members of Parliament | Constituency | Work description | Recommended date | Sanction Date | Sanction Amount ( ₹ ) | Work Status,False,25000.0,1.0,0,21b7f6f2e308ab193a83470de83b244ddc7f2e85212bebfcf81627c1768e2215,2024-07-08,2025-11-24,25000.0,2024-07-09,2026-08-25,25000.0,,,,12881.0,46470400.0,25000.0,,,,,,,,,,,,
STAGE1_SNAPSHOT,Works_Completed.csv,completed,33871,11,Sr. No. | Work Category | Work | State | IDA | Work Description | Hon'ble Members of Parliament | Constituency | Image | Completion Date | Amount Disbursed ( ₹ ),False,33870.0,1.0,0,c74ee87bda8ef554ab7c7654080ad88197d8a365e1ea4f5f9d77c237f4b6d180,,,,,,,,,,,,,2024-08-12,2026-08-26,33870.0,8448.0,16270524843.4,33775.0,,,,,,
STAGE1_5_SNAPSHOT,Works_Completed.csv,completed,20001,11,Sr. No. | Work Category | Work | State | IDA | Work Description | Hon'ble Members of Parliament | Constituency | Image | Completion Date | Amount Disbursed ( ₹ ),False,20000.0,1.0,0,3dc9dc1b4cea5ad73e43cd738314cbbb88395652e97e09a9378637d6e1f4bc67,,,,,,,,,,,,,2024-08-12,2026-08-26,20000.0,10000.0,16270044079.4,19987.0,,,,,,
STAGE1_SNAPSHOT,Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv,expenditure,23001,11,Sr. No. | State | Work | Work ID | IDA | Hon'ble Members of Parliament | Constituency | Expenditure Date | Vendor Name | Payment Status | Fund Disbursed Amount ( ₹ ),True,13627.0,1.0,0,21dd102aa8f7509fbeb083fb45fde29477401d100b71d94989528ade5b4edb18,,,,,,,,,,,,,,,,1.0,38770120064.729,23001.0,2023-09-15,2026-08-26,23000.0,,,
STAGE1_5_SNAPSHOT,Expenditure_on_Completed_and_On-going_Works_as_on_Date.csv,expenditure,33001,11,Sr. No. | State | Work | Work ID | IDA | Hon'ble Members of Parliament | Constituency | Expenditure Date | Vendor Name | Payment Status | Fund Disbursed Amount ( ₹ ),True,22357.0,1.0,0,75e5e363268383b5d1d81ad797ff831cbea34ea3f3a0e806778ed9d9caeb680b,,,,,,,,,,,,,,,,1.0,27222064440.45,33001.0,2025-06-10,2026-08-26,33000.0,,,
STAGE1_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,allocation,544,5,Sr. No. | State | Hon'ble Members of Parliaments | Constituency | Allocated AMOUNT ( ₹ ),False,,,0,472f595e41261ead2a7ccfa8c0b0e128ceb886eb2b577117376105ea9d63af19,,,,,,,,,,,,,,,,,,,,,,0.10999999940395355,47624036541.52,541.0
STAGE1_5_SNAPSHOT,Allocated_Limit_for_Honble_MPs__2_.csv,allocation,544,5,Sr. No. | State | Hon'ble Members of Parliaments | Constituency | Allocated AMOUNT ( ₹ ),False,,,0,3f798e32a73eb5e9b4204a7359b04f636386ee1e3347ab2f5fa30a77093af3a1,,,,,,,,,,,,,,,,,,,,,,49000000.0,83154562207.6,543.0
