work_id,pre_sanction_risk,rule_risk_component_pre_sanction,statistical_anomaly_component_pre_sanction,ml_anomaly_component_pre_sanction,peer_anomaly_component_pre_sanction,data_quality_component_pre_sanction,in_progress_risk,rule_risk_component_in_progress,statistical_anomaly_component_in_progress,ml_anomaly_component_in_progress,peer_anomaly_component_in_progress,data_quality_component_in_progress,post_completion_risk,rule_risk_component_post_completion,statistical_anomaly_component_post_completion,ml_anomaly_component_post_completion,peer_anomaly_component_post_completion,data_quality_component_post_completion,risk_mode,overall_risk,risk_band,rule_risk_component,statistical_anomaly_component,ml_anomaly_component,peer_anomaly_component,data_quality_component
WS/EXLS003/2025-2026/135388,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,22.768734462146305,10.0,0.0,8.955939439805372,74.88773287092614,25.0,,,,,,,IN_PROGRESS,22.768734462146305,LOW,10.0,0.0,8.955939439805372,74.88773287092614,25.0
WS/EXLS003/2025-2026/135395,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,24.05818381750791,10.0,0.0,10.636835231774995,79.65408385576454,25.0,,,,,,,IN_PROGRESS,24.05818381750791,LOW,10.0,0.0,10.636835231774995,79.65408385576454,25.0
WS/EXLS003/2025-2026/135396,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,24.682239701832863,10.0,0.0,10.511371911858717,82.89982659730559,25.0,,,,,,,IN_PROGRESS,24.682239701832863,LOW,10.0,0.0,10.511371911858717,82.89982659730559,25.0
WS/EXLS003/2025-2026/135397,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,24.438255919012946,10.0,0.0,10.331869164225735,81.85941043083899,25.0,,,,,,,IN_PROGRESS,24.438255919012946,LOW,10.0,0.0,10.331869164225735,81.85941043083899,25.0
WS/EXLS003/2025-2026/135398,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,22.63242356350715,10.0,0.0,8.763469469307568,74.39864834822818,25.0,,,,,,,IN_PROGRESS,22.63242356350715,LOW,10.0,0.0,8.763469469307568,74.39864834822818,25.0
WS/EXLS003/2025-2026/135414,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,24.858683940021173,10.0,0.0,10.75333700035929,83.54008269974658,25.0,,,,,,,IN_PROGRESS,24.858683940021173,LOW,10.0,0.0,10.75333700035929,83.54008269974658,25.0
WS/EXLS005/2025-2026/229743,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.701118942547035,10.0,0.0,2.7090538741775227,35.796540838557654,25.0,,,,,,,IN_PROGRESS,13.701118942547035,LOW,10.0,0.0,2.7090538741775227,35.796540838557654,25.0
WS/EXLS005/2025-2026/229744,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/229759,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/229760,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/229761,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,8.394773049347835,10.0,0.0,1.7875685058205737,10.1862967409186,25.0,,,,,,,IN_PROGRESS,8.394773049347835,LOW,10.0,0.0,1.7875685058205737,10.1862967409186,25.0
WS/EXLS005/2025-2026/229762,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.402149579818353,10.0,0.0,3.1883300430604526,33.82241785603131,25.0,,,,,,,IN_PROGRESS,13.402149579818353,LOW,10.0,0.0,3.1883300430604526,33.82241785603131,25.0
WS/EXLS005/2025-2026/229771,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/229774,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/229782,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/229783,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/229784,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,14.043751074576605,10.0,0.0,2.8037893864884667,37.414965986394556,25.0,,,,,,,IN_PROGRESS,14.043751074576605,LOW,10.0,0.0,2.8037893864884667,37.414965986394556,25.0
WS/EXLS005/2025-2026/229785,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.587751504285372,10.0,0.0,2.8091501229118876,35.12960739851496,25.0,,,,,,,IN_PROGRESS,13.587751504285372,LOW,10.0,0.0,2.8091501229118876,35.12960739851496,25.0
WS/EXLS005/2025-2026/230929,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,10.608868079558794,10.0,0.0,7.725518111482829,15.318822286311143,25.0,,,,,,,IN_PROGRESS,10.608868079558794,LOW,10.0,0.0,7.725518111482829,15.318822286311143,25.0
WS/EXLS005/2025-2026/230932,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/230935,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,22.806824909744023,10.0,0.0,9.048574773254362,74.98554977546574,25.0,,,,,,,IN_PROGRESS,22.806824909744023,LOW,10.0,0.0,9.048574773254362,74.98554977546574,25.0
WS/EXLS005/2025-2026/231030,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.192768389349443,10.0,0.0,3.324119391058264,32.63972255568894,25.0,,,,,,,IN_PROGRESS,13.192768389349443,LOW,10.0,0.0,3.324119391058264,32.63972255568894,25.0
WS/EXLS005/2025-2026/231031,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,12.97675793299117,10.0,0.0,2.9287854410440777,31.955004223911775,25.0,,,,,,,IN_PROGRESS,12.97675793299117,LOW,10.0,0.0,2.9287854410440777,31.955004223911775,25.0
WS/EXLS005/2025-2026/231035,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,6.918589658085458,10.0,0.0,0.0,4.59294829042729,25.0,,,,,,,IN_PROGRESS,6.918589658085458,LOW,10.0,0.0,0.0,4.59294829042729,25.0
WS/EXLS005/2025-2026/231036,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,6.918589658085458,10.0,0.0,0.0,4.59294829042729,25.0,,,,,,,IN_PROGRESS,6.918589658085458,LOW,10.0,0.0,0.0,4.59294829042729,25.0
WS/EXLS005/2025-2026/231037,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,24.177818536768086,10.0,0.0,10.452473591759134,80.43661909208129,25.0,,,,,,,IN_PROGRESS,24.177818536768086,LOW,10.0,0.0,10.452473591759134,80.43661909208129,25.0
WS/EXLS005/2025-2026/231040,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,9.165943881703802,10.0,0.0,1.4906504476013098,14.3390689609177,25.0,,,,,,,IN_PROGRESS,9.165943881703802,LOW,10.0,0.0,1.4906504476013098,14.3390689609177,25.0
WS/EXLS005/2025-2026/231044,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,10.479714364044371,10.0,0.0,2.128241465857893,20.270330354363963,25.0,,,,,,,IN_PROGRESS,10.479714364044371,LOW,10.0,0.0,2.128241465857893,20.270330354363963,25.0
WS/EXLS005/2025-2026/231045,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,14.538138629275146,10.0,0.0,2.31454268619165,40.37615046018408,25.0,,,,,,,IN_PROGRESS,14.538138629275146,LOW,10.0,0.0,2.31454268619165,40.37615046018408,25.0
WS/EXLS005/2025-2026/231046,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231047,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231048,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.454465207978014,10.0,0.0,2.916361431824618,34.35596460806545,25.0,,,,,,,IN_PROGRESS,13.454465207978014,LOW,10.0,0.0,2.916361431824618,34.35596460806545,25.0
WS/EXLS005/2025-2026/231133,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.46683096115606,10.0,0.0,2.5295663037127913,44.8045885020675,25.0,,,,,,,IN_PROGRESS,15.46683096115606,LOW,10.0,0.0,2.5295663037127913,44.8045885020675,25.0
WS/EXLS005/2025-2026/231135,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231137,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,14.81976442316037,10.0,0.0,2.2643105333911047,41.83451158241074,25.0,,,,,,,IN_PROGRESS,14.81976442316037,LOW,10.0,0.0,2.2643105333911047,41.83451158241074,25.0
WS/EXLS005/2025-2026/231174,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231175,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,12.282118494400954,10.0,0.0,3.1103834995268995,28.30020897247787,25.0,,,,,,,IN_PROGRESS,12.282118494400954,LOW,10.0,0.0,3.1103834995268995,28.30020897247787,25.0
WS/EXLS005/2025-2026/231186,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231190,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.585309597355412,10.0,0.0,2.214930006251507,45.711617980525546,25.0,,,,,,,IN_PROGRESS,15.585309597355412,LOW,10.0,0.0,2.214930006251507,45.711617980525546,25.0
WS/EXLS005/2025-2026/231192,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.400137617151788,10.0,0.0,2.5295663037127913,44.471121782046154,25.0,,,,,,,IN_PROGRESS,15.400137617151788,LOW,10.0,0.0,2.5295663037127913,44.471121782046154,25.0
WS/EXLS005/2025-2026/231197,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.756922989081868,10.0,0.0,2.570129151091628,36.21448579431772,25.0,,,,,,,IN_PROGRESS,13.756922989081868,LOW,10.0,0.0,2.570129151091628,36.21448579431772,25.0
WS/EXLS005/2025-2026/231198,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.51677572255417,10.0,0.0,2.419146053080314,45.164732559690535,25.0,,,,,,,IN_PROGRESS,15.51677572255417,LOW,10.0,0.0,2.419146053080314,45.164732559690535,25.0
WS/EXLS005/2025-2026/231199,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.359565891818779,10.0,0.0,2.4912179255916143,44.306611533502284,25.0,,,,,,,IN_PROGRESS,15.359565891818779,LOW,10.0,0.0,2.4912179255916143,44.306611533502284,25.0
WS/EXLS005/2025-2026/231200,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.173144225014976,10.0,0.0,2.5283861911013044,43.33733493397358,25.0,,,,,,,IN_PROGRESS,15.173144225014976,LOW,10.0,0.0,2.5283861911013044,43.33733493397358,25.0
WS/EXLS005/2025-2026/231201,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,6.201593638312369,10.0,0.0,0.36285408718565026,0.6451141043761934,25.0,,,,,,,IN_PROGRESS,6.201593638312369,LOW,10.0,0.0,0.36285408718565026,0.6451141043761934,25.0
WS/EXLS005/2025-2026/231202,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,12.652655737520794,10.0,0.0,3.0600862995376197,30.20319238806635,25.0,,,,,,,IN_PROGRESS,12.652655737520794,LOW,10.0,0.0,3.0600862995376197,30.20319238806635,25.0
WS/EXLS005/2025-2026/231715,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231720,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231722,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231723,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.45624369715146,10.0,0.0,2.916361431824618,34.36485705393268,25.0,,,,,,,IN_PROGRESS,13.45624369715146,LOW,10.0,0.0,2.916361431824618,34.36485705393268,25.0
WS/EXLS005/2025-2026/231746,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,24.908481636877696,10.0,0.0,10.75333700035929,83.78907118402917,25.0,,,,,,,IN_PROGRESS,24.908481636877696,LOW,10.0,0.0,10.75333700035929,83.78907118402917,25.0
WS/EXLS005/2025-2026/231747,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.635996538798654,10.0,0.0,2.214930006251507,45.96505268774176,25.0,,,,,,,IN_PROGRESS,15.635996538798654,LOW,10.0,0.0,2.214930006251507,45.96505268774176,25.0
WS/EXLS005/2025-2026/231756,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.961568008305203,10.0,0.0,2.504474250765257,47.30336579076075,25.0,,,,,,,IN_PROGRESS,15.961568008305203,LOW,10.0,0.0,2.504474250765257,47.30336579076075,25.0
WS/EXLS005/2025-2026/231758,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.819288874429429,10.0,0.0,2.504474250765257,46.59197012138188,25.0,,,,,,,IN_PROGRESS,15.819288874429429,LOW,10.0,0.0,2.504474250765257,46.59197012138188,25.0
WS/EXLS005/2025-2026/231820,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.385020459177488,10.0,0.0,2.5295663037127913,44.39553599217465,25.0,,,,,,,IN_PROGRESS,15.385020459177488,LOW,10.0,0.0,2.5295663037127913,44.39553599217465,25.0
WS/EXLS005/2025-2026/231821,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,6.089059900153061,10.0,0.0,0.20964968528356348,0.23564981548174213,25.0,,,,,,,IN_PROGRESS,6.089059900153061,LOW,10.0,0.0,0.20964968528356348,0.23564981548174213,25.0
WS/EXLS005/2025-2026/231825,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,24.97784271464213,10.0,0.0,10.75333700035929,84.13587657285136,25.0,,,,,,,IN_PROGRESS,24.97784271464213,LOW,10.0,0.0,10.75333700035929,84.13587657285136,25.0
WS/EXLS005/2025-2026/231826,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231842,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,6.1104017702344295,10.0,0.0,0.20964968528356348,0.34235916588858384,25.0,,,,,,,IN_PROGRESS,6.1104017702344295,LOW,10.0,0.0,0.20964968528356348,0.34235916588858384,25.0
WS/EXLS005/2025-2026/231844,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231857,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231858,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/231860,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.6185630536607,10.0,0.0,2.847606073514483,35.24520919478902,25.0,,,,,,,IN_PROGRESS,13.6185630536607,LOW,10.0,0.0,2.847606073514483,35.24520919478902,25.0
WS/EXLS005/2025-2026/231862,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.307989705788817,10.0,0.0,2.4912179255916143,44.04873060335246,25.0,,,,,,,IN_PROGRESS,15.307989705788817,LOW,10.0,0.0,2.4912179255916143,44.04873060335246,25.0
WS/EXLS005/2025-2026/232127,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,12.71260550804253,10.0,0.0,2.9507826422534795,30.612244897959172,25.0,,,,,,,IN_PROGRESS,12.71260550804253,LOW,10.0,0.0,2.9507826422534795,30.612244897959172,25.0
WS/EXLS005/2025-2026/232138,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/232140,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.445572762110778,10.0,0.0,2.916361431824618,34.311502378729266,25.0,,,,,,,IN_PROGRESS,13.445572762110778,LOW,10.0,0.0,2.916361431824618,34.311502378729266,25.0
WS/EXLS005/2025-2026/234530,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,22.553980685794812,10.0,0.0,8.700275577833603,74.06962785114047,25.0,,,,,,,IN_PROGRESS,22.553980685794812,LOW,10.0,0.0,8.700275577833603,74.06962785114047,25.0
WS/EXLS005/2025-2026/234532,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/234573,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,12.458457032919345,10.0,0.0,2.9783373632539654,29.313947801342756,25.0,,,,,,,IN_PROGRESS,12.458457032919345,LOW,10.0,0.0,2.9783373632539654,29.313947801342756,25.0
WS/EXLS005/2025-2026/234660,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.569303194794383,10.0,0.0,2.214930006251507,45.63158596772041,25.0,,,,,,,IN_PROGRESS,15.569303194794383,LOW,10.0,0.0,2.214930006251507,45.63158596772041,25.0
WS/EXLS005/2025-2026/234670,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.857526391658542,10.0,0.0,2.504474250765257,46.78315770752746,25.0,,,,,,,IN_PROGRESS,15.857526391658542,LOW,10.0,0.0,2.504474250765257,46.78315770752746,25.0
WS/EXLS005/2025-2026/234677,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/234681,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/237842,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,8.596948450019383,10.0,0.0,3.553663655035307,9.431078595061608,25.0,,,,,,,IN_PROGRESS,8.596948450019383,LOW,10.0,0.0,3.553663655035307,9.431078595061608,25.0
WS/EXLS005/2025-2026/237845,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/237853,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/237855,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,10.142469552461513,10.0,0.0,1.8825936384357862,18.82975412387178,25.0,,,,,,,IN_PROGRESS,10.142469552461513,LOW,10.0,0.0,1.8825936384357862,18.82975412387178,25.0
WS/EXLS005/2025-2026/237860,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/237861,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,13.598480175704038,10.0,0.0,3.0762121808188856,34.9161886977013,25.0,,,,,,,IN_PROGRESS,13.598480175704038,LOW,10.0,0.0,3.0762121808188856,34.9161886977013,25.0
WS/EXLS005/2025-2026/237866,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,14.8322138473745,10.0,0.0,2.2643105333911047,41.896758703481396,25.0,,,,,,,IN_PROGRESS,14.8322138473745,LOW,10.0,0.0,2.2643105333911047,41.896758703481396,25.0
WS/EXLS005/2025-2026/238021,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.942004627397282,10.0,0.0,2.504474250765257,47.20554888622115,25.0,,,,,,,IN_PROGRESS,15.942004627397282,LOW,10.0,0.0,2.504474250765257,47.20554888622115,25.0
WS/EXLS005/2025-2026/238023,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.869086571285948,10.0,0.0,2.504474250765257,46.84095860566448,25.0,,,,,,,IN_PROGRESS,15.869086571285948,LOW,10.0,0.0,2.504474250765257,46.84095860566448,25.0
WS/EXLS005/2025-2026/248017,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2025-2026/248018,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.21582796517771,10.0,0.0,2.5283861911013044,43.55075363478724,25.0,,,,,,,IN_PROGRESS,15.21582796517771,LOW,10.0,0.0,2.5283861911013044,43.55075363478724,25.0
WS/EXLS005/2025-2026/248019,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,8.350019173365034,10.0,0.0,2.99192196770187,8.758173899123298,25.0,,,,,,,IN_PROGRESS,8.350019173365034,LOW,10.0,0.0,2.99192196770187,8.758173899123298,25.0
WS/EXLS005/2025-2026/248036,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,10.859484566342394,10.0,0.0,8.557190359207036,15.740232472504934,25.0,,,,,,,IN_PROGRESS,10.859484566342394,LOW,10.0,0.0,8.557190359207036,15.740232472504934,25.0
WS/EXLS005/2025-2026/248039,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,11.14827967100171,10.0,0.0,9.722294536902613,16.019103818105933,25.0,,,,,,,IN_PROGRESS,11.14827967100171,LOW,10.0,0.0,9.722294536902613,16.019103818105933,25.0
WS/EXLS005/2025-2026/249690,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,14.756892797609144,10.0,0.0,2.31454268619165,41.46992130185407,25.0,,,,,,,IN_PROGRESS,14.756892797609144,LOW,10.0,0.0,2.31454268619165,41.46992130185407,25.0
WS/EXLS005/2026-2027/229773,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2026-2027/231176,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,12.319466767043348,10.0,0.0,3.1103834995268995,28.48695033568984,25.0,,,,,,,IN_PROGRESS,12.319466767043348,LOW,10.0,0.0,3.1103834995268995,28.48695033568984,25.0
WS/EXLS005/2026-2027/231757,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,15.627104092931418,10.0,0.0,2.214930006251507,45.92059045840558,25.0,,,,,,,IN_PROGRESS,15.627104092931418,LOW,10.0,0.0,2.214930006251507,45.92059045840558,25.0
WS/EXLS005/2026-2027/231846,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2026-2027/232146,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2026-2027/232640,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2026-2027/236565,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
WS/EXLS005/2026-2027/237862,4.285714285714286,0.0,0.0,,0.0,28.57142857142857,16.62016222714079,10.0,0.0,2.587272386871086,50.513538748832865,25.0,,,,,,,IN_PROGRESS,16.62016222714079,LOW,10.0,0.0,2.587272386871086,50.513538748832865,25.0
