work_id,state,constituency,work_category,risk_band,overall_risk,major_signals,explanation,recommended_action
WS/MP383/2024-2025/11215,Rajasthan,RAJSAMAND,Normal/Others,CRITICAL,96.25,"RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on payment_event (robust z = 6.07); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP383/2024-2025/11216,Rajasthan,RAJSAMAND,Normal/Others,CRITICAL,95.13574126534466,"RULE-013,RULE-014,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on payment_event (robust z = 4.72); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18166/2024-2025/164584,Rajasthan,JALORE,Normal/Others,CRITICAL,95.0,"RULE-010,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Strong peer-relative anomaly on payment_event (robust z = 5.4); Sanction-to-completion duration is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18065/2026-2027/152353,Haryana,ROHTAK,Normal/Others,CRITICAL,94.5,"RULE-009,RULE-011,RULE-012,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on sanction_amount (robust z = 14.39); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Recommendation-to-sanction duration is at the 98.0th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP643/2025-2026/146594,Madhya Pradesh,KHANDWA,Normal/Others,CRITICAL,94.37096774193547,"RULE-009,RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Recommendation-to-sanction duration is at the 96.3th percentile among comparable works (L3_work_category_state_constituency); Payment event count is at the 99.7th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP18161/2024-2025/138091,Rajasthan,BHARATPUR(SC),Normal/Others,CRITICAL,94.1496598639456,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 98.3th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); peer comparison indicates an unusual value relative to comparable works; the anomaly model ranks the work as unusual relative to works at the same lifecycle stage.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP454/2024-2025/8877,Rajasthan,ALWAR,Normal/Others,CRITICAL,93.3785046728972,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 97.2th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP378/2023-2024/3678,Punjab,HOSHIARPUR(SC),Normal/Others,CRITICAL,93.25,"RULE-011,RULE-013,RULE-014,RULE-015",Review priority is CRITICAL because Strong peer-relative anomaly on sanction_amount (robust z = 6.41); Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 100.0th percentile among comparable works (L3_work_category_state_constituency); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.,Compare with peer works of the same category/state; verify sanction and expenditure documentation.
WS/MP378/2023-2024/1382,Punjab,HOSHIARPUR(SC),Normal/Others,CRITICAL,93.01689976689975,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 99.4th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
WS/MP378/2023-2024/1327,Punjab,HOSHIARPUR(SC),Normal/Others,CRITICAL,92.87703962703964,"RULE-011,RULE-013,RULE-015","Review priority is CRITICAL because Strong overall statistical anomaly on expenditure_to_sanction_ratio (robust z = 50.0); Payment event count is at the 99.1th percentile among comparable works (L3_work_category_state_constituency); One or more expenditure events for this Work ID have conflicting status/amount across source records (same work, date, and vendor; retained for human review, not auto-resolved); the anomaly model ranks the work as unusual relative to works at the same lifecycle stage; peer comparison indicates an unusual value relative to comparable works.",Review the flagged financial/duration figures against comparable works; request supporting documentation.
